,index,data_level,public_or_independent,district_number,district_name,school_number,school_name,sub_population,fsa_skill_code,grade,number_expected_writers,number_writers,score,year_start,year_end
0,269306,SCHOOL LEVEL,BC Public School,5.0,Southeast Kootenay,502031.0,Steeples Elementary,ALL STUDENTS,Numeracy,4,24,24,387.5833,2017,2018
1,269307,SCHOOL LEVEL,BC Public School,5.0,Southeast Kootenay,502031.0,Steeples Elementary,FEMALE,Numeracy,4,10,10,417.8,2017,2018
2,269308,SCHOOL LEVEL,BC Public School,5.0,Southeast Kootenay,502031.0,Steeples Elementary,MALE,Numeracy,4,14,14,366.0,2017,2018
3,269309,SCHOOL LEVEL,BC Public School,5.0,Southeast Kootenay,502031.0,Steeples Elementary,NON ABORIGINAL,Numeracy,4,18,18,369.8889,2017,2018
4,269310,SCHOOL LEVEL,BC Public School,5.0,Southeast Kootenay,502031.0,Steeples Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,24,24,387.5833,2017,2018
5,269324,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,604012.0,J Alfred Laird Elementary,ALL STUDENTS,Numeracy,4,58,56,499.0893,2017,2018
6,269325,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,604012.0,J Alfred Laird Elementary,FEMALE,Numeracy,4,24,23,482.2174,2017,2018
7,269326,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,604012.0,J Alfred Laird Elementary,MALE,Numeracy,4,34,33,510.8485,2017,2018
8,269327,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,604012.0,J Alfred Laird Elementary,NON ABORIGINAL,Numeracy,4,50,48,495.625,2017,2018
9,269328,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,604012.0,J Alfred Laird Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,55,54,499.1852,2017,2018
10,269329,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,ALL STUDENTS,Numeracy,4,99,97,456.5876,2017,2018
11,269330,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,FEMALE,Numeracy,4,45,45,449.7778,2017,2018
12,269331,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,MALE,Numeracy,4,54,52,462.4808,2017,2018
13,269332,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,ABORIGINAL,Numeracy,4,13,12,421.0,2017,2018
14,269333,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,NON ABORIGINAL,Numeracy,4,86,85,461.6118,2017,2018
15,269334,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,606017.0,McKim Middle School,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,99,97,456.5876,2017,2018
16,269335,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,ALL STUDENTS,Numeracy,4,66,64,465.3438,2017,2018
17,269336,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,FEMALE,Numeracy,4,31,31,457.5484,2017,2018
18,269337,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,MALE,Numeracy,4,35,33,472.6667,2017,2018
19,269338,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,ABORIGINAL,Numeracy,4,18,18,448.2222,2017,2018
20,269339,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,NON ABORIGINAL,Numeracy,4,48,46,472.0435,2017,2018
21,269340,SCHOOL LEVEL,BC Public School,6.0,Rocky Mountain,618003.0,Lady Grey Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,63,61,461.5738,2017,2018
22,269380,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,ALL STUDENTS,Numeracy,4,49,44,408.6591,2017,2018
23,269381,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,FEMALE,Numeracy,4,22,20,398.95,2017,2018
24,269382,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,MALE,Numeracy,4,27,24,416.75,2017,2018
25,269383,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,ABORIGINAL,Numeracy,4,10,9,385.0,2017,2018
26,269384,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,NON ABORIGINAL,Numeracy,4,39,35,414.7429,2017,2018
27,269385,SCHOOL LEVEL,BC Public School,8.0,Kootenay Lake,886004.0,Adam Robertson Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,46,41,410.3902,2017,2018
28,269430,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011005.0,Fruitvale Elementary,ALL STUDENTS,Numeracy,4,54,39,467.2564,2017,2018
29,269431,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011005.0,Fruitvale Elementary,FEMALE,Numeracy,4,26,15,456.5333,2017,2018
30,269432,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011005.0,Fruitvale Elementary,MALE,Numeracy,4,28,24,473.9583,2017,2018
31,269433,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011005.0,Fruitvale Elementary,ABORIGINAL,Numeracy,4,10,9,458.6667,2017,2018
32,269434,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011005.0,Fruitvale Elementary,NON ABORIGINAL,Numeracy,4,44,30,469.8333,2017,2018
33,269435,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011005.0,Fruitvale Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,52,37,466.4324,2017,2018
34,269446,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011015.0,Glenmerry Elementary,ALL STUDENTS,Numeracy,4,50,22,501.6364,2017,2018
35,269447,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011015.0,Glenmerry Elementary,FEMALE,Numeracy,4,23,10,486.9,2017,2018
36,269448,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011015.0,Glenmerry Elementary,MALE,Numeracy,4,27,12,513.9167,2017,2018
37,269449,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011015.0,Glenmerry Elementary,ABORIGINAL,Numeracy,4,10,6,457.6667,2017,2018
38,269450,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011015.0,Glenmerry Elementary,NON ABORIGINAL,Numeracy,4,40,16,518.125,2017,2018
39,269451,SCHOOL LEVEL,BC Public School,20.0,Kootenay-Columbia,2011015.0,Glenmerry Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,50,22,501.6364,2017,2018
40,269457,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222001.0,Beairsto Elementary,ALL STUDENTS,Numeracy,4,90,63,470.6984,2017,2018
41,269458,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222001.0,Beairsto Elementary,FEMALE,Numeracy,4,54,35,454.6857,2017,2018
42,269459,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222001.0,Beairsto Elementary,MALE,Numeracy,4,36,28,490.7143,2017,2018
43,269460,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222001.0,Beairsto Elementary,ABORIGINAL,Numeracy,4,10,8,412.5,2017,2018
44,269461,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222001.0,Beairsto Elementary,NON ABORIGINAL,Numeracy,4,80,55,479.1636,2017,2018
45,269462,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222001.0,Beairsto Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,90,63,470.6984,2017,2018
46,269472,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222009.0,Harwood Elementary,ALL STUDENTS,Numeracy,4,41,41,430.3171,2017,2018
47,269473,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222009.0,Harwood Elementary,FEMALE,Numeracy,4,17,17,408.6471,2017,2018
48,269474,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222009.0,Harwood Elementary,MALE,Numeracy,4,24,24,445.6667,2017,2018
49,269475,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222009.0,Harwood Elementary,NON ABORIGINAL,Numeracy,4,37,37,438.9459,2017,2018
50,269476,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222009.0,Harwood Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,41,41,430.3171,2017,2018
51,269477,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222010.0,J W Inglis Elementary,ALL STUDENTS,Numeracy,4,49,44,425.1364,2017,2018
52,269478,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222010.0,J W Inglis Elementary,FEMALE,Numeracy,4,16,16,410.4375,2017,2018
53,269479,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222010.0,J W Inglis Elementary,MALE,Numeracy,4,33,28,433.5357,2017,2018
54,269480,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222010.0,J W Inglis Elementary,ABORIGINAL,Numeracy,4,12,10,432.9,2017,2018
55,269481,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222010.0,J W Inglis Elementary,NON ABORIGINAL,Numeracy,4,37,34,422.8529,2017,2018
56,269482,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222010.0,J W Inglis Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,49,44,425.1364,2017,2018
57,269483,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222012.0,Silver Star Elementary,ALL STUDENTS,Numeracy,4,72,67,433.6716,2017,2018
58,269484,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222012.0,Silver Star Elementary,FEMALE,Numeracy,4,33,32,406.7813,2017,2018
59,269485,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222012.0,Silver Star Elementary,MALE,Numeracy,4,39,35,458.2571,2017,2018
60,269486,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222012.0,Silver Star Elementary,NON ABORIGINAL,Numeracy,4,64,60,440.6833,2017,2018
61,269487,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222012.0,Silver Star Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,72,67,433.6716,2017,2018
62,269510,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222020.0,Alexis Park Elementary,ALL STUDENTS,Numeracy,4,37,35,413.2286,2017,2018
63,269511,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222020.0,Alexis Park Elementary,FEMALE,Numeracy,4,20,19,404.0526,2017,2018
64,269512,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222020.0,Alexis Park Elementary,MALE,Numeracy,4,17,16,424.125,2017,2018
65,269513,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222020.0,Alexis Park Elementary,ABORIGINAL,Numeracy,4,12,11,369.3636,2017,2018
66,269514,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222020.0,Alexis Park Elementary,NON ABORIGINAL,Numeracy,4,25,24,433.3333,2017,2018
67,269515,SCHOOL LEVEL,BC Public School,22.0,Vernon,2222020.0,Alexis Park Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,37,35,413.2286,2017,2018
68,269540,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323016.0,George Pringle Elementary,ALL STUDENTS,Numeracy,4,80,44,441.7273,2017,2018
69,269541,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323016.0,George Pringle Elementary,FEMALE,Numeracy,4,40,24,428.0417,2017,2018
70,269542,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323016.0,George Pringle Elementary,MALE,Numeracy,4,40,20,458.15,2017,2018
71,269543,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323016.0,George Pringle Elementary,ABORIGINAL,Numeracy,4,20,10,368.1,2017,2018
72,269544,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323016.0,George Pringle Elementary,NON ABORIGINAL,Numeracy,4,60,34,463.3824,2017,2018
73,269545,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323016.0,George Pringle Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,78,43,442.3721,2017,2018
74,269609,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323050.0,Springvalley Elementary,ALL STUDENTS,Numeracy,4,55,47,474.4894,2017,2018
75,269610,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323050.0,Springvalley Elementary,FEMALE,Numeracy,4,25,22,468.6364,2017,2018
76,269611,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323050.0,Springvalley Elementary,MALE,Numeracy,4,30,25,479.64,2017,2018
77,269612,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323050.0,Springvalley Elementary,ABORIGINAL,Numeracy,4,19,14,448.7143,2017,2018
78,269613,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323050.0,Springvalley Elementary,NON ABORIGINAL,Numeracy,4,36,33,485.4242,2017,2018
79,269614,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323050.0,Springvalley Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,51,43,471.4186,2017,2018
80,269615,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323050.0,Springvalley Elementary,SPECIAL NEEDS NO GIFTED,Numeracy,4,10,8,487.0,2017,2018
81,269631,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323060.0,Quigley Elementary,ALL STUDENTS,Numeracy,4,49,33,473.4545,2017,2018
82,269632,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323060.0,Quigley Elementary,FEMALE,Numeracy,4,22,15,467.0,2017,2018
83,269633,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323060.0,Quigley Elementary,MALE,Numeracy,4,27,18,478.8333,2017,2018
84,269634,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323060.0,Quigley Elementary,ABORIGINAL,Numeracy,4,10,8,460.25,2017,2018
85,269635,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323060.0,Quigley Elementary,NON ABORIGINAL,Numeracy,4,39,25,477.68,2017,2018
86,269636,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323060.0,Quigley Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,49,33,473.4545,2017,2018
87,269637,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323061.0,Peter Greer Elementary,ALL STUDENTS,Numeracy,4,65,62,434.2581,2017,2018
88,269638,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323061.0,Peter Greer Elementary,FEMALE,Numeracy,4,35,34,436.2647,2017,2018
89,269639,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323061.0,Peter Greer Elementary,MALE,Numeracy,4,30,28,431.8214,2017,2018
90,269640,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323061.0,Peter Greer Elementary,ABORIGINAL,Numeracy,4,10,10,411.1,2017,2018
91,269641,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323061.0,Peter Greer Elementary,NON ABORIGINAL,Numeracy,4,55,52,438.7115,2017,2018
92,269642,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323061.0,Peter Greer Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,62,60,436.6667,2017,2018
93,269648,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323066.0,Davidson Road Elementary,ALL STUDENTS,Numeracy,4,78,65,521.2769,2017,2018
94,269649,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323066.0,Davidson Road Elementary,FEMALE,Numeracy,4,46,38,518.2105,2017,2018
95,269650,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323066.0,Davidson Road Elementary,MALE,Numeracy,4,32,27,525.5926,2017,2018
96,269651,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323066.0,Davidson Road Elementary,ABORIGINAL,Numeracy,4,12,10,523.9,2017,2018
97,269652,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323066.0,Davidson Road Elementary,NON ABORIGINAL,Numeracy,4,66,55,520.8,2017,2018
98,269653,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323066.0,Davidson Road Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,69,57,522.7193,2017,2018
99,269680,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323077.0,Rutland Elementary,ALL STUDENTS,Numeracy,4,86,82,435.5366,2017,2018
100,269681,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323077.0,Rutland Elementary,FEMALE,Numeracy,4,39,37,412.3243,2017,2018
101,269682,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323077.0,Rutland Elementary,MALE,Numeracy,4,47,45,454.6222,2017,2018
102,269683,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323077.0,Rutland Elementary,ABORIGINAL,Numeracy,4,14,13,470.9231,2017,2018
103,269684,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323077.0,Rutland Elementary,NON ABORIGINAL,Numeracy,4,72,69,428.8696,2017,2018
104,269685,SCHOOL LEVEL,BC Public School,23.0,Central Okanagan,2323077.0,Rutland Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,78,76,435.4605,2017,2018
105,269700,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727012.0,100 Mile House Elementary,ALL STUDENTS,Numeracy,4,48,47,400.9362,2017,2018
106,269701,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727012.0,100 Mile House Elementary,FEMALE,Numeracy,4,27,26,389.6538,2017,2018
107,269702,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727012.0,100 Mile House Elementary,MALE,Numeracy,4,21,21,414.9048,2017,2018
108,269703,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727012.0,100 Mile House Elementary,ABORIGINAL,Numeracy,4,12,12,385.0,2017,2018
109,269704,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727012.0,100 Mile House Elementary,NON ABORIGINAL,Numeracy,4,36,35,406.4,2017,2018
110,269705,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727012.0,100 Mile House Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,47,46,400.3696,2017,2018
111,269734,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727065.0,Nesika Elementary,ALL STUDENTS,Numeracy,4,53,52,387.1154,2017,2018
112,269735,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727065.0,Nesika Elementary,FEMALE,Numeracy,4,25,24,396.9167,2017,2018
113,269736,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727065.0,Nesika Elementary,MALE,Numeracy,4,28,28,378.7143,2017,2018
114,269737,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727065.0,Nesika Elementary,ABORIGINAL,Numeracy,4,18,18,365.1667,2017,2018
115,269738,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727065.0,Nesika Elementary,NON ABORIGINAL,Numeracy,4,35,34,398.7353,2017,2018
116,269739,SCHOOL LEVEL,BC Public School,27.0,Cariboo-Chilcotin,2727065.0,Nesika Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,49,48,388.4583,2017,2018
117,269742,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828016.0,Ecole Red Bluff Lhtako Elementary,ALL STUDENTS,Numeracy,4,35,28,428.3571,2017,2018
118,269743,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828016.0,Ecole Red Bluff Lhtako Elementary,FEMALE,Numeracy,4,20,15,410.2667,2017,2018
119,269744,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828016.0,Ecole Red Bluff Lhtako Elementary,MALE,Numeracy,4,15,13,449.2308,2017,2018
120,269745,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828016.0,Ecole Red Bluff Lhtako Elementary,ABORIGINAL,Numeracy,4,13,10,407.0,2017,2018
121,269746,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828016.0,Ecole Red Bluff Lhtako Elementary,NON ABORIGINAL,Numeracy,4,22,18,440.2222,2017,2018
122,269747,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828016.0,Ecole Red Bluff Lhtako Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,35,28,428.3571,2017,2018
123,269761,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828032.0,Lakeview Elementary,ALL STUDENTS,Numeracy,4,40,33,405.4545,2017,2018
124,269762,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828032.0,Lakeview Elementary,FEMALE,Numeracy,4,18,14,399.9286,2017,2018
125,269763,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828032.0,Lakeview Elementary,MALE,Numeracy,4,22,19,409.5263,2017,2018
126,269764,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828032.0,Lakeview Elementary,ABORIGINAL,Numeracy,4,10,9,372.7778,2017,2018
127,269765,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828032.0,Lakeview Elementary,NON ABORIGINAL,Numeracy,4,30,24,417.7083,2017,2018
128,269766,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828032.0,Lakeview Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,40,33,405.4545,2017,2018
129,269767,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828036.0,Voyageur Elementary School,ALL STUDENTS,Numeracy,4,33,23,308.2609,2017,2018
130,269768,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828036.0,Voyageur Elementary School,FEMALE,Numeracy,4,12,4,336.0,2017,2018
131,269769,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828036.0,Voyageur Elementary School,MALE,Numeracy,4,21,19,302.4211,2017,2018
132,269770,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828036.0,Voyageur Elementary School,ABORIGINAL,Numeracy,4,11,8,284.875,2017,2018
133,269771,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828036.0,Voyageur Elementary School,NON ABORIGINAL,Numeracy,4,22,15,320.7333,2017,2018
134,269772,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828036.0,Voyageur Elementary School,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,33,23,308.2609,2017,2018
135,269776,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828039.0,Riverview Elementary,ALL STUDENTS,Numeracy,4,18,17,373.4706,2017,2018
136,269777,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828039.0,Riverview Elementary,FEMALE,Numeracy,4,11,10,367.2,2017,2018
137,269778,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828039.0,Riverview Elementary,ABORIGINAL,Numeracy,4,10,9,334.5556,2017,2018
138,269779,SCHOOL LEVEL,BC Public School,28.0,Quesnel,2828039.0,Riverview Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,18,17,373.4706,2017,2018
139,269790,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333005.0,Sardis Elementary,ALL STUDENTS,Numeracy,4,63,59,519.7458,2017,2018
140,269791,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333005.0,Sardis Elementary,FEMALE,Numeracy,4,32,32,532.1563,2017,2018
141,269792,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333005.0,Sardis Elementary,MALE,Numeracy,4,31,27,505.037,2017,2018
142,269793,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333005.0,Sardis Elementary,NON ABORIGINAL,Numeracy,4,54,51,535.7255,2017,2018
143,269794,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333005.0,Sardis Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,56,55,528.2727,2017,2018
144,269795,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333008.0,Chilliwack Central Elementary Community,ALL STUDENTS,Numeracy,4,44,38,379.4474,2017,2018
145,269796,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333008.0,Chilliwack Central Elementary Community,FEMALE,Numeracy,4,19,16,362.3125,2017,2018
146,269797,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333008.0,Chilliwack Central Elementary Community,MALE,Numeracy,4,25,22,391.9091,2017,2018
147,269798,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333008.0,Chilliwack Central Elementary Community,ABORIGINAL,Numeracy,4,25,22,365.3636,2017,2018
148,269799,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333008.0,Chilliwack Central Elementary Community,NON ABORIGINAL,Numeracy,4,19,16,398.8125,2017,2018
149,269800,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333008.0,Chilliwack Central Elementary Community,ENGLISH LANGUAGE LEARNER,Numeracy,4,13,11,341.2727,2017,2018
150,269801,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333008.0,Chilliwack Central Elementary Community,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,31,27,395.0,2017,2018
151,269833,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333017.0,Watson Elementary,ALL STUDENTS,Numeracy,4,80,76,422.7632,2017,2018
152,269834,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333017.0,Watson Elementary,FEMALE,Numeracy,4,41,40,407.875,2017,2018
153,269835,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333017.0,Watson Elementary,MALE,Numeracy,4,39,36,439.3056,2017,2018
154,269836,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333017.0,Watson Elementary,ABORIGINAL,Numeracy,4,17,16,406.0,2017,2018
155,269837,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333017.0,Watson Elementary,NON ABORIGINAL,Numeracy,4,63,60,427.2333,2017,2018
156,269838,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333017.0,Watson Elementary,ENGLISH LANGUAGE LEARNER,Numeracy,4,11,11,385.0,2017,2018
157,269839,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333017.0,Watson Elementary,NON ENGLISH LANGUAGE LEARNER,Numeracy,4,69,65,429.1538,2017,2018
158,269840,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333019.0,Bernard Elementary,ALL STUDENTS,Numeracy,4,45,42,395.7381,2017,2018
159,269841,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333019.0,Bernard Elementary,FEMALE,Numeracy,4,23,21,421.9524,2017,2018
160,269842,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333019.0,Bernard Elementary,MALE,Numeracy,4,22,21,369.5238,2017,2018
161,269843,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333019.0,Bernard Elementary,ABORIGINAL,Numeracy,4,12,11,397.7273,2017,2018
162,269844,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333019.0,Bernard Elementary,NON ABORIGINAL,Numeracy,4,33,31,395.0323,2017,2018
163,269845,SCHOOL LEVEL,BC Public School,33.0,Chilliwack,3333019.0,Bernard Elementary,ENGLISH LANGUAGE LEARNER,Numeracy,4,11,10,405.1,2017,2018
